Topic:,Problem: ,Link :,Index
Binary Trees,Kth Ancestor of node in a Binary tree,https://www.geeksforgeeks.org/kth-ancestor-node-binary-tree-set-2/,32
Binary Trees,Find all Duplicate subtrees in a Binary tree [ IMP ],https://practice.geeksforgeeks.org/problems/duplicate-subtrees/1,33
Binary Trees,Tree Isomorphism Problem,https://practice.geeksforgeeks.org/problems/check-if-tree-is-isomorphic/1,34
,,,
,,,
Binary Search Trees,Fina a value in a BST,https://www.geeksforgeeks.org/binary-search-tree-set-1-search-and-insertion/,0
Binary Search Trees,Deletion of a node in a BST,https://leetcode.com/problems/delete-node-in-a-bst/,1
Binary Search Trees,Find min and max value in a BST,https://practice.geeksforgeeks.org/problems/minimum-element-in-bst/1,2
Binary Search Trees,Find inorder successor and inorder predecessor in a BST,https://practice.geeksforgeeks.org/problems/predecessor-and-successor/1,3
Binary Search Trees,Check if a tree is a BST or not ,https://practice.geeksforgeeks.org/problems/check-for-bst/1,4
Binary Search Trees,Populate Inorder successor of all nodes,https://practice.geeksforgeeks.org/problems/populate-inorder-successor-for-all-nodes/1,5
Binary Search Trees,Find LCA  of 2 nodes in a BST,https://practice.geeksforgeeks.org/problems/lowest-common-ancestor-in-a-bst/1,6
Binary Search Trees,Construct BST from preorder traversal,https://www.geeksforgeeks.org/construct-bst-from-given-preorder-traversa/,7
Binary Search Trees,Convert Binary tree into BST,https://practice.geeksforgeeks.org/problems/binary-tree-to-bst/1,8
Binary Search Trees,Convert a normal BST into a Balanced BST,https://www.geeksforgeeks.org/convert-normal-bst-balanced-bst/,9
Binary Search Trees,Merge two BST [ V.V.V>IMP ],https://www.geeksforgeeks.org/merge-two-balanced-binary-search-trees/,10
Binary Search Trees,Find Kth largest element in a BST,https://practice.geeksforgeeks.org/problems/kth-largest-element-in-bst/1,11
Binary Search Trees,Find Kth smallest element in a BST,https://practice.geeksforgeeks.org/problems/find-k-th-smallest-element-in-bst/1,12
Binary Search Trees,"Count pairs from 2 BST whose sum is equal to given value ""X""",https://practice.geeksforgeeks.org/problems/brothers-from-different-root/1,13
Binary Search Trees,Find the median of BST in O(n) time and O(1) space,https://www.geeksforgeeks.org/find-median-bst-time-o1-space/,14
Binary Search Trees,Count BST ndoes that lie in a given range,https://practice.geeksforgeeks.org/problems/count-bst-nodes-that-lie-in-a-given-range/1,15
Binary Search Trees,Replace every element with the least greater element on its right,https://www.geeksforgeeks.org/replace-every-element-with-the-least-greater-element-on-its-right/,16
Binary Search Trees,"Given ""n"" appointments, find the conflicting appointments",https://www.geeksforgeeks.org/given-n-appointments-find-conflicting-appointments/,17
Binary Search Trees,Check preorder is valid or not,https://practice.geeksforgeeks.org/problems/preorder-to-postorder/0,18
Binary Search Trees,Check whether BST contains Dead end,https://practice.geeksforgeeks.org/problems/check-whether-bst-contains-dead-end/1,19
Binary Search Trees,Largest BST in a Binary Tree [ V.V.V.V.V IMP ],https://practice.geeksforgeeks.org/problems/largest-bst/1,20
Binary Search Trees,Flatten BST to sorted list,https://www.geeksforgeeks.org/flatten-bst-to-sorted-list-increasing-order/,21
,,,
,,,
Greedy,Activity Selection Problem,https://practice.geeksforgeeks.org/problems/n-meetings-in-one-room/0,0
Greedy,Job SequencingProblem,https://practice.geeksforgeeks.org/problems/job-sequencing-problem/0,1
Greedy,Huffman Coding,https://practice.geeksforgeeks.org/problems/huffman-encoding/0,2
Greedy,Water Connection Problem,https://practice.geeksforgeeks.org/problems/water-connection-problem/0,3
Greedy,Fractional Knapsack Problem,https://practice.geeksforgeeks.org/problems/fractional-knapsack/0,4
Greedy,Greedy Algorithm to find Minimum number of Coins,https://practice.geeksforgeeks.org/problems/coin-piles/0,5
Greedy,Maximum trains for which stoppage can be provided,https://www.geeksforgeeks.org/maximum-trains-stoppage-can-provided/,6
Greedy,Minimum Platforms Problem,https://practice.geeksforgeeks.org/problems/minimum-platforms/0,7
Greedy,Buy Maximum Stocks if i stocks can be bought on i-th day,https://www.geeksforgeeks.org/buy-maximum-stocks-stocks-can-bought-th-day/,8
Greedy,Find the minimum and maximum amount to buy all N candies,https://practice.geeksforgeeks.org/problems/shop-in-candy-store/0,9
Greedy,Minimize Cash Flow among a given set of friends who have borrowed money from each other,https://www.geeksforgeeks.org/minimize-cash-flow-among-given-set-friends-borrowed-money/,10
Greedy,Minimum Cost to cut a board into squares,https://www.geeksforgeeks.org/minimum-cost-cut-board-squares/,11
Greedy,Check if it is possible to survive on Island,https://www.geeksforgeeks.org/survival/,12
Greedy,Find maximum meetings in one room,https://www.geeksforgeeks.org/find-maximum-meetings-in-one-room/,13
Greedy,Maximum product subset of an array,https://www.geeksforgeeks.org/maximum-product-subset-array/,14
Greedy,Maximize array sum after K negations,https://practice.geeksforgeeks.org/problems/maximize-sum-after-k-negations/0,15
Greedy,Maximize the sum of arr[i]*i,https://practice.geeksforgeeks.org/problems/maximize-arrii-of-an-array/0,16
Greedy,Maximum sum of absolute difference of an array,https://www.geeksforgeeks.org/maximum-sum-absolute-difference-array/,17
Greedy,Maximize sum of consecutive differences in a circular array,https://practice.geeksforgeeks.org/problems/swap-and-maximize/0,18
